Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
17,572198.8677978516,9,0,558,0,62,62,62.0,0.0,0,0,0,0,975.1854318543185,15.72879728797288,71524.85847473145,49499.60524279806,150930.88150024414,8015.871047973633,572198.8677978516,71524.85847473145,49499.60524279806,150930.88150024414,8015.871047973633,0,0,0,0,0,0,0,0,0,180,0,15.72879728797288,0.0,62,62,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,62.0,62.0,0,0,0,0,0,0,0,9,558,0,0,0,0,0,0,572198.8677978516,0.0,572198.8677978516,572198.8677978516,0,0,0,0
17,341886.9972229004,5,0,310,0,62,62,62.0,0.0,0,0,0,0,906.7323487529097,14.624715302466287,85471.7493057251,80103.25477186272,222257.8525543213,21521.09146118164,341886.9972229004,85471.7493057251,80103.25477186272,222257.8525543213,21521.09146118164,0,0,0,0,0,0,0,0,0,100,0,14.624715302466287,0.0,62,62,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,62.0,62.0,0,0,0,0,0,0,0,5,310,0,0,0,0,0,0,341886.9972229004,0.0,341886.9972229004,341886.9972229004,0,0,0,0
17,0.0,1,0,62,0,62,62,62.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,0,0.0,0.0,62,62,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,62.0,62.0,0,0,0,0,0,0,0,1,62,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
17,0.0,1,0,62,0,62,62,62.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,0,0.0,0.0,62,62,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,62.0,62.0,0,0,0,0,0,0,0,1,62,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
17,539633.9893341064,16,0,992,0,62,62,62.0,0.0,0,0,0,0,1838.2830207268835,29.649726140756183,35975.59928894043,48210.95922531936,174882.173538208,1775.979995727539,539633.9893341064,35975.59928894043,48210.95922531936,174882.173538208,1775.979995727539,0,0,0,0,0,0,0,0,0,320,0,29.649726140756183,0.0,62,62,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,62.0,62.0,0,0,0,0,0,0,0,16,992,0,0,0,0,0,0,539633.9893341064,0.0,539633.9893341064,539633.9893341064,0,0,0,0
17,552049.8752593994,15,0,930,0,62,62,62.0,0.0,0,0,0,0,1684.6303960543562,27.171458000876715,39432.13394709996,46075.34515554601,162262.2013092041,2261.1618041992188,552049.8752593994,39432.13394709996,46075.34515554601,162262.2013092041,2261.1618041992188,0,0,0,0,0,0,0,0,0,300,0,27.171458000876715,0.0,62,62,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,62.0,62.0,0,0,0,0,0,0,0,15,930,0,0,0,0,0,0,552049.8752593994,0.0,552049.8752593994,552049.8752593994,0,0,0,0
17,557336.8072509766,7,0,511,0,73,73,73.0,0.0,0,0,0,0,916.8603138207765,12.559730326312007,92889.46787516277,71364.8476577703,228669.8818206787,11067.867279052734,557336.8072509766,92889.46787516277,71364.8476577703,228669.8818206787,11067.867279052734,0,0,0,0,0,0,0,0,0,140,0,12.559730326312007,0.0,73,73,73.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,73.0,73.0,0,0,0,0,0,0,0,7,511,0,0,0,0,0,0,557336.8072509766,0.0,557336.8072509766,557336.8072509766,0,0,0,0
1,533303.97605896,13,0,1313,0,101,101,101.0,0.0,0,0,0,0,2462.0105210969587,24.376341793039195,44441.99800491333,42494.82752047718,153661.01264953613,2.1457672119140625,533303.97605896,44441.99800491333,42494.82752047718,153661.01264953613,2.1457672119140625,0,0,0,0,0,0,0,0,0,260,0,24.376341793039195,0.0,101,101,101.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,101.0,101.0,0,0,0,0,0,0,0,13,1313,0,0,0,0,0,0,533303.97605896,0.0,533303.97605896,533303.97605896,0,0,0,0
17,155044.7940826416,3,0,186,0,62,62,62.0,0.0,0,0,0,0,1199.6533072942696,19.34924689184306,77522.3970413208,63858.38985443115,141380.78689575195,13664.007186889648,155044.7940826416,77522.3970413208,63858.38985443115,141380.78689575195,13664.007186889648,0,0,0,0,0,0,0,0,0,60,0,19.34924689184306,0.0,62,62,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,62.0,62.0,0,0,0,0,0,0,0,3,186,0,0,0,0,0,0,155044.7940826416,0.0,155044.7940826416,155044.7940826416,0,0,0,0
17,548274.040222168,6,0,372,0,62,62,62.0,0.0,0,0,0,0,678.492820577937,10.943432589966726,109654.8080444336,75929.36208790222,249890.80429077148,23345.947265625,548274.040222168,109654.8080444336,75929.36208790222,249890.80429077148,23345.947265625,0,0,0,0,0,0,0,0,0,120,0,10.943432589966726,0.0,62,62,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,62.0,62.0,0,0,0,0,0,0,0,6,372,0,0,0,0,0,0,548274.040222168,0.0,548274.040222168,548274.040222168,0,0,0,0
17,0.0,1,0,62,0,62,62,62.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,0,0.0,0.0,62,62,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,62.0,62.0,0,0,0,0,0,0,0,1,62,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
17,452023.0293273926,3,0,186,0,62,62,62.0,0.0,0,0,0,0,411.48345976258514,6.636829996170729,226011.5146636963,68986.41586303711,294997.9305267334,157025.09880065918,452023.0293273926,226011.5146636963,68986.41586303711,294997.9305267334,157025.09880065918,0,0,0,0,0,0,0,0,0,60,0,6.636829996170729,0.0,62,62,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,62.0,62.0,0,0,0,0,0,0,0,3,186,0,0,0,0,0,0,452023.0293273926,0.0,452023.0293273926,452023.0293273926,0,0,0,0
17,151470.89958190918,10,0,620,0,62,62,62.0,0.0,0,0,0,0,4093.195469963719,66.01928177360837,16830.099953545465,23086.660180435447,77605.00907897949,1690.8645629882812,151470.89958190918,16830.099953545465,23086.660180435447,77605.00907897949,1690.8645629882812,0,0,0,0,0,0,0,0,0,200,0,66.01928177360837,0.0,62,62,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,62.0,62.0,0,0,0,0,0,0,0,10,620,0,0,0,0,0,0,151470.89958190918,0.0,151470.89958190918,151470.89958190918,0,0,0,0
17,446460.0086212158,6,0,372,0,62,62,62.0,0.0,0,0,0,0,833.2213251279378,13.439053631095772,89292.00172424316,107256.7596396986,302066.0877227783,22619.962692260742,446460.0086212158,89292.00172424316,107256.7596396986,302066.0877227783,22619.962692260742,0,0,0,0,0,0,0,0,0,120,0,13.439053631095772,0.0,62,62,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,62.0,62.0,0,0,0,0,0,0,0,6,372,0,0,0,0,0,0,446460.0086212158,0.0,446460.0086212158,446460.0086212158,0,0,0,0
17,542217.9698944092,8,0,496,0,62,62,62.0,0.0,0,0,0,0,914.7612722916402,14.754214069220003,77459.7099849156,74764.2359700617,209380.1498413086,11.920928955078125,542217.9698944092,77459.7099849156,74764.2359700617,209380.1498413086,11.920928955078125,0,0,0,0,0,0,0,0,0,160,0,14.754214069220003,0.0,62,62,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,62.0,62.0,0,0,0,0,0,0,0,8,496,0,0,0,0,0,0,542217.9698944092,0.0,542217.9698944092,542217.9698944092,0,0,0,0
17,74807.16705322266,2,0,124,0,62,62,62.0,0.0,0,0,0,0,1657.595186190895,26.735406228885406,74807.16705322266,0.0,74807.16705322266,74807.16705322266,74807.16705322266,74807.16705322266,0.0,74807.16705322266,74807.16705322266,0,0,0,0,0,0,0,0,0,40,0,26.735406228885406,0.0,62,62,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,62.0,62.0,0,0,0,0,0,0,0,2,124,0,0,0,0,0,0,74807.16705322266,0.0,74807.16705322266,74807.16705322266,0,0,0,0
17,269685.9836578369,15,0,930,0,62,62,62.0,0.0,0,0,0,0,3448.4550787034377,55.62024320489416,19263.28454698835,25485.830465388237,95946.07353210449,1234.0545654296875,269685.9836578369,19263.28454698835,25485.830465388237,95946.07353210449,1234.0545654296875,0,0,0,0,0,0,0,0,0,300,0,55.62024320489416,0.0,62,62,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,62.0,62.0,0,0,0,0,0,0,0,15,930,0,0,0,0,0,0,269685.9836578369,0.0,269685.9836578369,269685.9836578369,0,0,0,0
17,537343.0252075195,10,0,620,0,62,62,62.0,0.0,0,0,0,0,1153.8253423138017,18.61008616635164,59704.78057861328,41694.099428391964,129020.92933654785,1346.8265533447266,537343.0252075195,59704.78057861328,41694.099428391964,129020.92933654785,1346.8265533447266,0,0,0,0,0,0,0,0,0,200,0,18.61008616635164,0.0,62,62,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,62.0,62.0,0,0,0,0,0,0,0,10,620,0,0,0,0,0,0,537343.0252075195,0.0,537343.0252075195,537343.0252075195,0,0,0,0
17,117915.15350341797,5,0,310,0,62,62,62.0,0.0,0,0,0,0,2629.0090017227017,42.403370995527446,29478.788375854492,26928.768491421575,75749.15885925293,11115.074157714844,117915.15350341797,29478.788375854492,26928.768491421575,75749.15885925293,11115.074157714844,0,0,0,0,0,0,0,0,0,100,0,42.403370995527446,0.0,62,62,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,62.0,62.0,0,0,0,0,0,0,0,5,310,0,0,0,0,0,0,117915.15350341797,0.0,117915.15350341797,117915.15350341797,0,0,0,0
17,454862.117767334,5,0,310,0,62,62,62.0,0.0,0,0,0,0,681.5252092691696,10.992342084986609,113715.5294418335,66979.44625878999,187058.9256286621,8782.148361206055,454862.117767334,113715.5294418335,66979.44625878999,187058.9256286621,8782.148361206055,0,0,0,0,0,0,0,0,0,100,0,10.992342084986609,0.0,62,62,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,62.0,62.0,0,0,0,0,0,0,0,5,310,0,0,0,0,0,0,454862.117767334,0.0,454862.117767334,454862.117767334,0,0,0,0
